bookID,title,authors,average_rating,isbn,  num_pages,publication_date,publisher,
81,Giving Good Weight,John McPhee,4.23,374516006,288,4/1/94,Farrar  Straus and Giroux,
83,Rising from the Plains,John McPhee,4.23,374520658,208,11/1/87,Farrar  Straus and Giroux,
85,The Heidi Chronicles,Wendy Wasserstein,3.75,822205106,81,3/1/02,Dramatists Play Service,
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,679734996,249,7/2/91,Vintage,
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,138,3/29/06,Routledge,
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,128,3/14/06,North Light Books,
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,800793617,192,9/1/03,Chosen Books,
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,871202867,108,1/28/97,Association for Supervision & Curriculum Development,
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,753454947,352,11/15/02,Kingfisher,
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,871209993,192,11/15/04,ASCD,
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,1852402873,192,4/28/03,Sovereign World,
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,761129588,832,10/16/03,Workman Publishing Company,
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,972016414,123,5/10/04,One Hour Entertainment,
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,128,8/19/04,North Light Books,
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,441294677,423,6/15/87,Ace Books,
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,441102670,436,7/1/87,Ace Books,
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,441172695,331,7/15/87,Ace Books,
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,765306476,592,7/1/04,Tor Books,
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,399128980,480,4/16/84,Putnam,
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,765353709,426,8/29/06,Tor Science Fiction,
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,441328008,471,8/15/87,Ace Books,
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,618212906,192,6/12/02,Houghton Mifflin Harcourt,
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,544,9/29/96,Ballantine Books,
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,385732546,291,9/13/05,Delacorte Books for Young Readers,
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,785260056,256,11/1/04,Thomas Nelson,
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,471780936,205,5/19/06,Wiley,
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,325001537,240,2/7/00,Heinemann Drama,
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X,336,5/3/05,William Morrow Paperbacks,
133,eBay for Dummies,Marsha Collier,3.5,470045299,386,10/30/06,Wiley,
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,72262788,260,1/24/06,McGraw-Hill,
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,764569244,384,9/17/04,Wiley,
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,471933821,260,6/6/06,Wiley,
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,764559915,391,5/31/04,Wiley,
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,764584383,864,4/25/05,Wiley,
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,596523696,873,7/29/06,O'Reilly Media,
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,806523492,240,5/3/05,Citadel,
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,806525363,206,5/3/05,Citadel,
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,596527314,514,1/1/07,O'Reilly Media,
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,143035002,838,5/31/04,Penguin Classics,
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,451528611,960,11/5/02,Signet,
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,140449175,837,1/30/03,Penguin Books,
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,822001837,80,11/26/65,Cliffs Notes,
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,1593080271,803,7/1/03,Barnes & Noble Classics,
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,486437965,752,11/23/04,Dover Publications,
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,1593081774,803,8/26/04,Barnes & Noble,
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,778322270,360,1/28/06,Mira Books,
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,521313252,128,11/26/87,Cambridge University Press,
162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,140183957,160,7/3/90,Penguin Books,
163,The Untouchable,John Banville,3.95,679767479,367,6/30/98,Vintage,
164,The Untouchables,Eliot Ness/Oscar Fraley,3.89,1568491980,256,2/1/96,Buccaneer Books,
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,743270797,320,9/27/05,Scribner,
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,932863051,100,1/28/95,Clarity Press,
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,742508803,224,12/20/00,Rowman & Littlefield Publishers,
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,205358624,216,9/22/03,Pearson,
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4,1557344035,48,9/28/91,Teacher Created Resources,
180,Wrinkles in Time,George Smoot/Keay Davidson,4.01,380720442,360,10/1/94,Harper Perennial,
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4,821925326,250,5/1/02,EMC/Paradigm Publishing,
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,043927169X,32,1/1/02,Teaching Resources,
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4,606105263,205,6/1/84,Turtleback Books,
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,751506435,367,6/1/94,Little  Brown Book Group,
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,352,1/3/06,William Morrow,
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,743499344,320,11/1/05,Atria Books,
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,765313405,331,3/7/06,Tor Books,
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,1400032490,244,8/10/04,Vintage Crime/Black Lizard,
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,1400032482,215,3/8/05,Vintage Crime/Black Lizard,
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,1400032466,191,8/10/04,Vintage Crime/Black Lizard,
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,679732527,144,10/3/90,Vintage,
231,I am Charlotte Simmons,Tom Wolfe,3.42,312424442,738,8/30/05,Picador USA,
237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,806930772,48,10/1/01,Sterling,
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,140366601,287,10/3/96,Puffin,
245,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,811201120,217,2/1/64,New Directions Publishing,
247,Quiet Days in Clichy,Henry Miller,3.69,080213016X,154,1/13/94,Grove Press,
249,Tropic of Cancer,Henry Miller/Jiří Níl,3.68,802131786,318,1/6/94,Grove Press,
250,Tropic of Capricorn,Henry Miller,3.78,802151825,348,1/13/94,Grove Press,
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,802151787,316,1/13/94,Grove Press,
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,802151809,506,1/12/94,Grove Press,
253,The Air-Conditioned Nightmare,Henry Miller,3.83,811201066,292,1/17/70,New Directions,
264,The Portrait of a Lady,Henry James/Patricia Crick,3.78,141439637,797,9/30/03,Penguin Classics,
269,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,1593080964,635,1/16/04,Barnes  Noble Classics,
277,Writing,Marguerite Duras,3.75,1571290532,91,5/6/99,Brookline Books,
278,The War,Marguerite Duras/Barbara Bray,3.85,1565842219,192,8/1/94,The New Press,
280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,394743040,181,3/12/86,Pantheon,
285,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,1851681825,178,7/1/99,One World (UK),
288,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,156656249X,464,4/1/98,Interlink Publishing Group,
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,014019553X,102,1/1/98,Penguin Books,
290,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,394431243,216,2/21/95,Knopf,
291,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,806501901,132,3/3/03,Citadel,
292,Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,067943920X,100,6/14/11,Knopf,
295,Treasure Island,Robert Louis Stevenson,3.83,753453800,311,9/15/01,Kingfisher,
296,Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,1402714572,213,10/1/04,Sterling Children's Books,
297,Treasure Island,Robert Louis Stevenson,3.83,1416500294,245,6/1/05,Simon & Schuster,
298,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,689854684,64,7/1/03,Atheneum Books for Young Readers,
299,Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,517221144,272,9/3/02,Gramercy Books,
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,1577658051,232,1/31/06,Abdo Publishing Company,
313,100 Years of Lynchings,Ralph Ginzburg,4.61,933121180,270,11/22/96,Black Classic Press,
324,Cien años de soledad,Gabriel García Márquez,4.07,785950109,448,1/1/90,French & European,
330,On Beyond Zebra!,Dr. Seuss,4.04,394800842,64,9/12/55,Random House Books for Young Readers,
332,The Wedding Clause,Debbie Raleigh,3.6,821778250,256,6/7/05,Zebra,
333,The Zebra Wall,Kevin Henkes,3.44,60733039,147,2/15/05,Greenwillow Books,
337,El perfume: Historia de un asesino,Patrick Süskind,4.02,8432216062,239,6/1/02,Booket,
348,The Door Into Summer,Robert A. Heinlein,4.01,345413997,304,6/17/97,Del Rey,
350,Stranger in a Strange Land,Robert A. Heinlein,3.92,441788386,528,10/1/91,Ace,
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,441748600,434,6/1/88,Ace Books,
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,345316509,439,10/12/85,Del Rey,
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,765314932,256,8/8/06,Tor Books,
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,671742515,307,2/15/91,Pocket Books,
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,345455290,298,4/26/05,Del Rey,
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,345476514,368,12/27/05,Del Rey,
367,Douglas Adams's Starship Titanic,Terry Jones,3.6,345368436,256,10/27/98,Ballantine Books,
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,1417622857,336,7/1/03,Turtleback Books,
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,573650969,72,1/12/11,Samuel French  Inc.,
385,On Bullshit,Harry G. Frankfurt,3.57,691122946,67,1/30/05,Princeton University Press,
386,Another Bullshit Night in Suck City,Nick Flynn,3.78,393329402,347,9/12/05,W. W. Norton & Company,
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,671867423,317,6/12/93,Simon & Schuster,
397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,395883970,32,2/2/98,HMH Books for Young Readers,
399,Underworld,Don DeLillo,3.92,684848155,827,7/9/98,Scribner,
400,Libra,Don DeLillo,3.99,140156046,480,5/1/91,Penguin,
403,Americana,Don DeLillo,3.43,140119485,377,7/6/89,Penguin Books,
404,Running Dog,Don DeLillo,3.43,679722947,256,7/17/89,Vintage Contemporaries,
406,Cosmopolis,Don DeLillo,3.22,743244257,224,4/6/04,Scribner,
407,Great Jones Street,Don DeLillo,3.48,140179178,272,1/1/94,Penguin Books,
408,The Names,Don DeLillo,3.64,679722955,339,7/17/89,Vintage,
409,Against the Day,Thomas Pynchon,4.13,159420120X,1085,11/21/06,Penguin Press,
410,V.,Thomas Pynchon,3.96,60930217,547,7/5/05,Harper Perennial Modern Classics,
411,The Crying of Lot 49,Thomas Pynchon,3.69,60931671,152,4/1/99,Harper Perennial,
412,Gravity's Rainbow,Thomas Pynchon,4.01,140283382,784,1/1/00,Penguin Books,
413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,312423209,773,1/3/04,Picador USA,
414,Vineland,Thomas Pynchon,3.69,141180633,385,9/1/97,Penguin Classics,
415,Gravity's Rainbow,Thomas Pynchon,4.01,143039946,776,10/31/06,Penguin Books,
416,Slow Learner: Early Stories,Thomas Pynchon,3.5,316724432,193,4/30/85,Back Bay Books,
418,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.8,140189300,352,8/29/96,Penguin Classics,
420,The Year of Magical Thinking,Joan Didion,3.89,140004314X,227,10/4/05,Knopf Publishing Group,
421,The White Album,Joan Didion,4.17,374522219,222,10/1/90,Farrar Straus Giroux,
422,A Book of Common Prayer,Joan Didion,3.8,679754865,272,4/11/95,Vintage International,
423,Where I Was From,Joan Didion,3.86,679752862,240,9/14/04,Vintage,
424,Slouching Towards Bethlehem,Joan Didion,4.21,374521727,238,10/1/90,Farrar Straus Giroux,
425,Democracy,Joan Didion,3.81,679754857,234,4/25/95,Vintage International,
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.5,307264874,1122,10/17/06,Everyman's Library,
428,Play It As It Lays,Joan Didion/David Thomson,3.87,374529949,231,11/15/05,Farrar  Straus and Giroux,
431,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89,143039830,308,3/28/06,Penguin Classics,
432,City of Glass (The New York Trilogy  #1),Paul Auster,3.79,140097317,203,4/7/87,Penguin Books,
434,Ghosts (The New York Trilogy  #2),Paul Auster,3.64,014009735X,96,7/7/87,Penguin Books,
435,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,940650762,179,11/1/86,Sun and Moon Press,
444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,3.89,963188925,256,1/1/95,Sky Books (NY),
446,The Brooklyn Follies,Paul Auster,3.84,312426232,306,10/17/06,Picador,
447,Moon Palace,Paul Auster,3.94,140115854,320,4/1/90,Penguin Books,
453,The Music of Chance,Paul Auster,3.9,140154078,217,12/1/91,Penguin Books,
454,Travels in the Scriptorium,Paul Auster,3.23,805081453,145,1/23/07,Henry Holt & Company,
456,Leviathan,Paul Auster,3.96,140178139,275,9/1/93,Penguin Books,
463,The Red Notebook: True Stories,Paul Auster,3.77,811214982,104,6/17/02,New Directions,
466,Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38,2742741461,1075,11/7/02,Actes Sud,
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,143036556,608,12/27/05,Penguin Books Ltd. (London),
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,3.4,446579785,211,2/1/06,Business Plus,
477,Collapse of Complex Societies,Joseph A. Tainter,4.15,052138673X,262,3/29/90,Cambridge University Press,
478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.8,743203046,544,8/7/01,Simon  Schuster,
481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91,034543871X,272,1/29/02,Ballantine Books,
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,4.39,393318281,576,9/17/98,W. W. Norton  Company,
493,My Inventions,Nikola Tesla,4.01,1599869942,88,5/17/06,Filiquarian Publishing  LLC.,
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,3.78,806519606,542,2/1/01,Citadel,
497,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.93,822549204,144,10/1/94,Lerner Publications,
498,Tesla Papers,Nikola Tesla/David Hatcher Childress,4.13,932813860,100,12/1/00,Adventures Unlimited Press,
511,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,3.77,373792689,249,6/27/06,Harlequin Blaze,
515,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,4.03,974514055,828,10/11/04,Pragmatic Bookshelf,
523,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,3.95,764585975,112,6/13/00,Cliffs Notes,
524,Lord of the Flies,William Golding,3.68,307281701,6,10/11/05,Listening Library (Audio),
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,812969707,397,9/12/06,Random House,
534,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,4.14,60255080,216,1/1/89,HarperCollins Publishers,
537,The Lovely Bones,Alice Sebold,3.81,330485385,328,6/1/03,Picador,
538,The Lovely Bones,Alice Sebold,3.81,159413023X,532,4/1/04,Large Print Press,
539,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.8,345360354,224,5/13/90,Ballantine Books,
565,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,3.98,321303474,296,2/17/05,Peachpit Press,
570,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.8,321430840,456,8/1/06,Peachpit Press,
576,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,3.85,3822840858,575,5/15/05,Taschen,
597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.81,743264460,245,6/13/06,Scribner,
599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.73,743236017,272,7/2/04,Scribner,
619,Vice (V  #8),Jane Feather,3.51,553572490,419,5/2/96,Bantam,
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,3.77,60589469,540,4/25/06,HarperTorch,
639,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,4.08,802789471,32,4/1/05,Walker & Company,
642,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,3.72,688060692,408,11/19/90,William Morrow Paperbacks,
643,Motorcycle Basics Techbook,John Harold Haynes,3.85,185960515X,222,7/5/02,Haynes Manuals N. America  Inc.,
650,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,3.93,1592530877,191,9/1/04,Rockport Publishers,
655,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,4.11,451528808,304,4/1/03,Signet Classics,
656,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,4.11,192833987,1392,6/25/98,Oxford University Press,
658,The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,4.13,486451380,352,9/8/06,Dover Publications,
662,Atlas Shrugged,Ayn Rand/Leonard Peikoff,3.69,452011876,1168,8/1/99,Plume,
